Subject,Scrambled?,Talker,D-Primes
1,Scram,Diff,1.6034419965935938
1,Scram,Same,1.2544487169122975
1,Unscram,Diff,1.3546767805551005
1,Unscram,Same,1.4163356595829422
2,Scram,Diff,1.2877203762528016
2,Scram,Same,1.5800488631681469
2,Unscram,Diff,1.674823053771135
2,Unscram,Same,1.5359243176870838
3,Scram,Diff,3.4141104240977667
3,Scram,Same,2.8941520563287635
3,Unscram,Diff,2.7181595543153936
3,Unscram,Same,2.039615346952333
4,Scram,Diff,2.987424272387897
4,Scram,Same,2.4155481094504823
4,Unscram,Diff,1.9505150205632962
4,Unscram,Same,1.950562244775094
5,Scram,Diff,2.2440904393828287
5,Scram,Same,2.101341766124359
5,Unscram,Diff,1.7309394167526828
5,Unscram,Same,1.5617270935508385
6,Scram,Diff,2.659753090502247
6,Scram,Same,2.341959006308578
6,Unscram,Diff,2.0832739248886254
6,Unscram,Same,1.7075790605096346
7,Scram,Diff,2.8950283973086135
7,Scram,Same,2.901954588968632
7,Unscram,Diff,2.5635981590228782
7,Unscram,Same,1.839149127673934
8,Scram,Diff,2.794557182
8,Scram,Same,2.913918541
8,Unscram,Diff,2.786528758
8,Unscram,Same,1.647367279
